,timespan,people
273,15:26:35,16
274,15:26:36,20
275,15:26:37,19
276,15:26:38,17
277,15:26:39,15
278,15:26:40,17
279,15:26:41,16
280,15:26:42,19
281,15:26:43,18
282,15:26:44,17
283,15:26:45,16
284,15:26:46,17
285,15:26:46,16
286,15:26:47,17
287,15:26:48,16
288,15:26:49,17
289,15:26:50,17
290,15:26:51,22
291,15:26:52,15
292,15:26:53,16
293,15:26:54,15
294,15:26:55,19
295,15:26:56,17
296,15:26:57,18
297,15:26:57,17
298,15:26:58,19
299,15:26:59,18
300,15:27:00,17
301,15:27:01,18
302,15:27:02,14
303,15:27:03,14
304,15:27:04,17
305,15:27:05,16
306,15:27:06,16
307,15:27:07,16
308,15:27:08,15
309,15:27:08,17
310,15:27:09,17
311,15:27:10,17
312,15:27:11,17
313,15:27:12,18
314,15:27:13,15
315,15:27:14,18
316,15:27:15,18
317,15:27:16,17
318,15:27:17,17
319,15:27:18,15
320,15:27:18,16
321,15:27:19,17
322,15:27:20,16
323,15:27:21,14
324,15:27:22,15
325,15:27:23,16
326,15:27:24,16
327,15:27:25,18
328,15:27:26,16
329,15:27:27,16
330,15:27:28,15
331,15:27:29,17
332,15:27:29,17
333,15:27:30,15
334,15:27:31,17
335,15:27:32,17
336,15:27:33,17
337,15:27:34,16
338,15:27:35,16
339,15:27:36,15
340,15:27:37,15
341,15:27:38,15
342,15:27:39,15
343,15:27:40,15
344,15:27:40,15
345,15:27:41,15
346,15:27:42,17
347,15:27:43,15
348,15:27:44,13
349,15:27:45,16
350,15:27:46,16
351,15:27:47,15
352,15:27:48,13
353,15:27:49,14
354,15:27:49,14
355,15:27:50,14
356,15:27:51,15
357,15:27:52,15
358,15:27:53,15
359,15:27:54,14
360,15:27:55,15
361,15:27:56,15
362,15:27:57,15
363,15:27:58,15
364,15:27:59,16
365,15:27:59,16
366,15:28:00,17
367,15:28:01,15
368,15:28:02,15
